weibo_id,original_text,user_id,created_at,retweet_count,comment_count,like_count,user_authentication,original_link,decoded_link,is_paper,confidence,source,doi,matched_pattern
52,,3659841663.0,,0,0,0,普通用户,https://nesa.zju.edu.cn/download/dty_pdf_cert_rnn.pdf,https://nesa.zju.edu.cn/download/dty_pdf_cert_rnn.pdf,True,high,ZHEJIANG UNIV PRESS,,ZHEJIANG UNIV PRESS
53,,6890507718.0,,0,0,0,蓝V,http://www.jzus.zju.edu.cn/article.php?doi=10.1631/jzus.A1500125,http://www.jzus.zju.edu.cn/article.php?doi=10.1631/jzus.A1500125,True,high,DOI,10.1631/jzus.A1500125,DOI
54,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AEP.2021.114089,https://doi.org/10.12677/AEP.2021.114089,True,high,DOI,10.12677/AEP.2021.114089,DOI
55,,5976873363.0,,0,0,0,普通用户,https://doi.org/10.1126/sciadv.abe3596,https://doi.org/10.1126/sciadv.abe3596,True,high,DOI,10.1126/sciadv.abe3596,DOI
56,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1126/sciadv.abe3596,https://doi.org/10.1126/sciadv.abe3596,True,high,DOI,10.1126/sciadv.abe3596,DOI
57,,3710258141.0,,0,0,0,金V,https://www.nature.com/articles/s41586-021-03698-7,https://www.nature.com/articles/s41586-021-03698-7,True,high,Nature,,Nature
57,,3710258141.0,,0,0,0,金V,https://www.nature.com/articles/d41586-021-02116-2,https://www.nature.com/articles/d41586-021-02116-2,True,high,Nature,,Nature
58,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/ORF.2021.113039,https://doi.org/10.12677/ORF.2021.113039,True,high,DOI,10.12677/ORF.2021.113039,DOI
59,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2021.108277,https://doi.org/10.12677/AAM.2021.108277,True,high,DOI,10.12677/AAM.2021.108277,DOI
60,,3710258141.0,,0,0,0,金V,https://doi.org/10.1073/pnas.2104442118,https://doi.org/10.1073/pnas.2104442118,True,high,DOI,10.1073/pnas.2104442118,DOI
61,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/FIN.2021.115048,https://doi.org/10.12677/FIN.2021.115048,True,high,DOI,10.12677/FIN.2021.115048,DOI
62,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AG.2021.1110131,https://doi.org/10.12677/AG.2021.1110131,True,high,DOI,10.12677/AG.2021.1110131,DOI
63,,2794083144.0,,0,0,0,蓝V,https://www.pnas.org/content/118/42/e2113015118,https://www.pnas.org/content/118/42/e2113015118,True,high,pnas,,pnas
