weibo_id,any_paper,max_confidence,total_links,user_id,user_authentication,retweet_count,comment_count,like_count
303,True,high,1,3941337445.0,普通用户,0,0,0
304,True,high,1,1402400261.0,金V,0,0,0
305,True,high,1,5976873363.0,普通用户,0,0,0
306,True,high,1,3941337445.0,普通用户,0,0,0
307,True,high,1,3941337445.0,普通用户,0,0,0
308,True,high,1,3941337445.0,普通用户,0,0,0
309,True,high,1,3941337445.0,普通用户,0,0,0
310,True,high,1,3941337445.0,普通用户,0,0,0
311,True,high,1,3941337445.0,普通用户,0,0,0
312,True,high,1,3941337445.0,普通用户,0,0,0
313,True,high,1,3941337445.0,普通用户,0,0,0
314,True,high,1,3941337445.0,普通用户,0,0,0
315,True,high,1,7523186814.0,蓝V,0,0,0
316,True,high,1,7523186814.0,蓝V,0,0,0
317,True,high,1,7523186814.0,蓝V,0,0,0
318,True,high,1,7523186814.0,蓝V,0,0,0
319,True,high,1,7523186814.0,蓝V,0,0,0
320,True,high,1,7006367380.0,蓝V,0,0,0
321,True,high,1,7523186814.0,蓝V,0,0,0
322,True,high,1,7523186814.0,蓝V,0,0,0
323,True,high,1,7523186814.0,蓝V,0,0,0
324,True,high,1,7523186814.0,蓝V,0,0,0
325,True,high,1,7523186814.0,蓝V,0,0,0
326,True,high,1,7523186814.0,蓝V,0,0,0
327,True,high,1,7523186814.0,蓝V,0,0,0
328,True,high,1,7523186814.0,蓝V,0,0,0
329,True,high,1,7523186814.0,蓝V,0,0,0
330,True,high,1,7523186814.0,蓝V,0,0,0
331,True,high,1,7523186814.0,蓝V,0,0,0
332,True,high,1,7523186814.0,蓝V,0,0,0
333,True,high,1,7523186814.0,蓝V,0,0,0
334,True,high,1,7523186814.0,蓝V,0,0,0
335,True,high,1,7523186814.0,蓝V,0,0,0
336,True,high,1,7523186814.0,蓝V,0,0,0
337,True,high,1,3941337445.0,普通用户,0,0,0
338,True,high,1,7523186814.0,蓝V,0,0,0
339,True,high,1,7523186814.0,蓝V,0,0,0
340,True,high,1,3941337445.0,普通用户,0,0,0
341,True,high,1,3941337445.0,普通用户,0,0,0
342,True,high,1,3941337445.0,普通用户,0,0,0
343,True,high,1,3941337445.0,普通用户,0,0,0
344,True,high,1,3941337445.0,普通用户,0,0,0
345,True,high,1,3941337445.0,普通用户,0,0,0
346,True,high,1,6890507718.0,蓝V,0,0,0
347,True,high,1,6890507718.0,蓝V,0,0,0
348,True,high,1,3941337445.0,普通用户,0,0,0
349,True,high,1,7523186814.0,蓝V,0,0,0
350,True,high,1,7523186814.0,蓝V,0,0,0
351,True,high,1,3941337445.0,普通用户,0,0,0
