altmetric_id,any_paper,max_confidence,total_links
2976395,True,high,10
2295295,True,high,2
1921975,True,high,7
2909312,True,high,16
3954020,True,high,36
2540733,True,high,17
620849,True,high,7
2677739,True,medium,1
2663188,True,high,8
2910984,True,high,6
3702426,True,high,1
2622251,True,high,12
2318084,True,high,8
2931190,True,high,29
2074531,True,high,15
2558810,True,high,9
2925646,True,high,2
1735040,True,high,23
4280422,True,high,27
1326744,True,high,27
3166839,True,high,1
2527956,True,high,10
1459421,True,high,9
2822149,True,high,9
3450076,True,high,1
2857323,True,high,58
2500346,True,high,36
2292287,True,high,19
2989863,True,medium,1
2572502,True,high,2
3704794,True,high,31
2587027,True,high,31
2747246,True,high,8
3095498,True,high,4
3447180,True,medium,1
101762455,True,high,20
2503226,True,high,11
2507720,True,high,12
3721236,True,high,15
2641245,True,high,5
2628464,True,high,21
822880,True,high,3
2754598,True,high,6
3077024,True,high,72
3153382,True,high,24
3932191,True,high,18
1652602,True,high,10
983009,True,high,5
4198853,True,high,10
1837207,True,high,63
2811988,True,high,5
4284788,True,high,11
4207709,True,high,20
2761119,True,high,23
2953967,True,high,3
2975388,True,high,8
2525342,True,high,12
3442837,True,high,22
2470817,True,high,10
3727570,True,high,7
1643718,True,high,2
2298253,True,high,10
2620089,True,high,3
3077068,True,high,24
2754116,True,high,25
2869057,True,medium,1
2303691,False,none,1
1450201,True,high,1
2139494,True,high,11
2905561,True,high,23
1415289,True,high,5
3147699,True,high,13
2979542,True,high,1
123807206,True,high,26
2493531,True,high,11
2325110,True,high,68
4066042,True,high,43
2982712,True,medium,3
2383233,True,high,6
2715233,True,high,13
3976532,True,high,16
2517987,True,high,7
2951520,True,high,13
2389095,True,high,20
3321328,True,high,21
2278702,True,high,6
3740267,True,high,3
2730751,True,high,11
3714368,True,medium,1
2022538,False,none,1
1584778,True,high,7
2323223,True,high,26
2830040,True,high,1
1757019,True,high,9
3008959,True,high,3
2636439,True,high,12
3530364,True,medium,1
2000266,True,high,6
1577704,True,high,13
3079403,True,high,10
3718851,True,high,1
3014902,True,high,7
3105160,True,high,2
2577267,True,high,6
2698116,True,high,6
2920324,True,high,27
2532998,True,high,7
2287268,True,high,30
2853481,False,none,1
2549883,True,high,18
4234699,True,high,1
2488776,True,high,6
2602935,True,high,7
4140209,True,high,2
4906170,True,high,2
2386518,True,high,113
2996604,True,high,66
2328845,True,high,13
2269566,True,high,7
2742144,True,high,1
2925173,True,high,1
2844529,True,high,1
1556143,True,high,7
3063353,True,high,10
2341902,True,high,5
1410374,True,high,10
101726040,True,high,17
2554410,True,high,6
2214741,True,high,12
2675660,True,high,8
2474966,True,high,4
2763552,True,high,4
1290609,True,high,3
3720988,True,high,30
2843408,True,high,6
3857546,True,high,6
1216935,True,high,15
2938120,True,high,20
3724163,True,high,3
3038437,True,high,10
2041018,True,medium,6
3055287,True,high,12
4156378,True,high,7
3015157,True,medium,2
3687395,True,medium,1
3041517,True,high,35
2800856,True,high,3
2651598,True,high,16
4299342,True,high,31
2591582,True,high,15
3437278,True,medium,1
2443183,True,high,3
2494324,True,high,6
3148322,True,high,30
2299656,True,high,26
3263375,True,high,14
2695892,True,high,13
2937963,True,medium,2
1379102,True,high,9
2924656,True,high,10
2806490,True,high,18
2630203,True,high,16
2515032,True,high,14
101806909,True,high,67
3700793,True,medium,1
2902213,True,high,13
2873124,True,high,1
3025613,True,medium,1
2661522,True,high,1
2806283,True,high,2
2928223,True,high,14
3704975,True,high,1
1137823,True,high,36
2568439,True,high,11
2896925,True,high,51
2594066,True,high,145
2310459,True,high,75
2790091,True,high,2
2318074,True,high,5
3125900,True,high,2
2849961,True,high,6
2878529,True,high,4
3888882,True,high,14
3968200,True,high,9
2764719,True,high,1
3895530,True,high,9
1990260,True,high,22
12038302,True,medium,1
2677651,True,high,1
3783015,True,medium,1
2417204,True,high,6
2683027,True,high,6
2351978,True,high,7
2633000,True,high,11
2855542,True,high,27
3930083,True,high,9
2725273,True,high,27
4143761,True,high,1
4224496,False,none,1
3093903,True,high,39
2548799,True,high,91
2464641,True,high,16
2943525,True,high,11
2663640,True,high,2
2974884,True,high,32
2607186,True,high,2
2756150,False,none,1
2421766,True,high,4
2399066,True,high,5
2910656,True,medium,1
3079107,True,high,6
2407261,True,high,18
2870933,True,high,54
2249124,True,high,7
2578348,False,none,1
744173,True,high,9
2983171,True,high,7
3037322,True,high,1
3780863,True,high,14
1219175,True,high,24
3178084,True,high,8
2418703,True,high,5
2414443,True,high,2
2782395,True,high,30
3781091,True,high,9
2398606,True,high,69
3786842,True,high,13
2747170,True,high,19
3056991,True,medium,1
101861337,True,high,11
1164390,True,high,33
2543019,True,high,1
958181,True,high,2
2994485,True,medium,1
2453335,True,high,6
4136203,True,high,39
2967864,True,high,13
4176461,True,high,2
595416,True,high,8
3015206,True,medium,1
101958237,True,high,29
3811407,True,high,5
3737464,True,medium,1
3825911,True,high,3
2963517,True,high,11
2732889,True,high,12
2440596,True,high,10
1548287,True,high,7
3092348,True,high,6
2599004,True,high,1
2975933,True,high,4
2672490,True,high,19
3903423,True,high,12
477889,True,high,5
2695290,True,high,9
2395374,True,high,17
1608679,True,high,17
2471643,True,high,128
2482266,True,high,11
2753877,True,high,3
2438374,True,high,8
2440751,True,high,11
1420070,True,high,8
2914469,True,high,2
1796927,True,high,4
2561835,True,high,3
2542624,True,high,4
3031826,True,high,2
3702795,True,high,3
4140112,True,high,2
101772221,True,high,19
3013549,True,high,8
101645023,True,high,172
2358585,True,high,26
3991371,True,high,6
2663856,True,high,5
1966402,True,high,10
1308765,True,high,21
1799712,True,high,8
2316385,True,high,11
2779558,True,high,6
2800085,True,high,3
2378486,True,high,1
2796229,True,high,11
4099958,True,high,5
3758682,True,high,7
2349838,True,high,7
2909511,True,high,9
17683016,False,none,1
1805945,True,high,6
2231650,True,high,17
2742765,True,high,4
2729786,True,high,10
2424511,True,low,1
2373158,False,none,1
3073477,True,high,8
2579279,True,high,1
2931044,True,high,23
3034982,True,high,6
2100354,True,high,13
3119552,True,high,7
3825060,True,high,4
2558182,True,high,10
2651913,True,high,10
2605219,True,high,1
2992667,True,high,12
3843985,True,high,10
2982716,True,medium,2
2488359,True,high,18
2672441,True,high,7
3007130,True,high,22
1897694,True,high,52
254277,True,high,18
2673793,True,medium,1
4032803,True,high,3
2140761,True,high,10
3704178,True,high,34
2716412,True,medium,1
12682862,True,medium,1
2623319,True,high,2
2805558,True,high,39
2850774,True,high,2
101833557,True,high,12
3081230,True,high,21
2515789,True,high,28
3839100,True,high,8
3442348,True,medium,3
1261240,True,high,5
2826459,True,high,19
3821853,True,high,3
2292578,True,high,2
20343540,True,medium,3
3148492,True,high,21
841263,True,high,16
2320961,True,high,3
4213799,True,high,1
2408823,True,high,1
1213007,True,high,5
2386109,True,high,6
2921300,True,medium,1
3758692,True,high,11
3219563,True,low,3
3045818,True,medium,1
3710503,True,high,11
2687282,True,medium,1
2889679,True,high,4
870609,True,high,2
2130356,True,high,11
2455898,True,high,4
4185038,True,high,12
2375189,True,high,8
2183369,True,high,7
2622272,True,high,15
1260466,True,high,2
2481185,True,high,10
3264808,True,high,4
2287546,True,high,13
1722320,True,high,7
4094149,True,high,30
443495,True,high,23
3334253,True,medium,1
2677731,True,medium,1
2683603,True,high,10
1283056,True,high,3
2947169,True,high,29
3804363,True,high,2
2695635,True,high,9
2469343,True,high,5
3015545,True,high,15
2420341,True,high,4
2676072,True,high,46
2325417,True,high,4
2989836,True,high,8
3145700,True,high,9
2386547,True,high,13
2770239,True,high,8
2544097,True,high,14
2489186,True,high,7
2521979,True,high,16
2529970,True,high,25
102665998,True,high,3
2283080,True,high,4
1505165,True,high,13
2348122,True,high,2
2879365,True,high,3
3759216,True,high,14
2265401,True,high,8
2579785,True,high,17
2290276,True,high,8
1806781,True,high,10
2909021,True,high,7
3998350,True,high,8
1382653,True,high,6
3745507,True,high,11
2897684,True,medium,2
3256367,True,high,3
1975306,True,high,5
3091556,True,medium,7
2906730,True,high,1
3012378,True,high,6
3895097,True,high,3
2707744,True,high,5
2965875,True,high,15
2420069,True,high,2
2295116,True,high,11
837175,True,high,4
101683838,True,high,139
2569783,True,high,2
2495110,True,high,14
3758987,True,high,26
2739819,False,none,1
2527418,True,high,25
3101533,True,high,1
2566198,True,high,5
1975741,True,high,25
2367063,True,high,11
3806943,True,medium,1
4152729,True,high,1
3005987,True,medium,3
1016141,True,high,29
2407590,True,high,3
2115892,True,high,13
3810168,True,high,15
3082282,True,high,35
2344228,True,high,7
2758794,True,high,8
2284615,True,high,16
442331,True,high,44
2483247,True,high,2
3084519,True,high,4
2700536,True,high,2
2606714,True,high,3
2292332,True,high,10
2292720,True,medium,2
2905685,True,high,10
2397566,True,high,5
2476751,True,high,16
2372487,True,high,14
2302095,True,high,21
2728871,True,high,12
3736064,True,high,21
817243,True,high,2
2321216,True,high,51
2370393,True,high,13
1872226,True,high,25
2521197,True,high,5
3547601,True,high,11
2586186,True,high,2
2779015,True,high,17
455068,True,high,27
2843762,True,high,11
2508890,True,high,2
2318076,True,high,8
2427949,True,high,11
3071520,True,high,2
12815225,True,high,3
2474917,True,high,5
3722461,True,high,16
3805820,True,high,12
3181074,True,high,4
4049164,True,high,8
2426746,True,low,1
1204053,True,high,14
3108006,True,high,8
2311531,True,high,24
2657611,True,high,9
3119153,True,high,35
1308715,True,high,10
3016488,True,medium,1
2227524,True,high,100
2399086,True,high,25
2654006,True,high,14
2304946,True,high,5
2827177,True,high,2
3813096,True,high,3
2625500,True,high,1
2498629,True,high,40
3008748,True,medium,1
2368047,True,high,7
2684789,True,high,1
981655,True,high,31
2683327,True,high,2
2614403,True,high,1
2673548,True,high,4
3822079,True,high,2
218392,True,high,4
2941316,True,high,3
2862297,True,high,9
3181671,True,high,5
2465274,True,high,13
2444348,True,high,5
2894787,True,medium,1
961126,True,high,12
3106619,True,high,25
2367687,True,high,3
3050239,True,high,7
3080516,True,medium,1
2065243,True,high,21
2567332,True,high,12
408156,True,high,7
2498058,True,high,4
2425501,True,high,8
3032482,True,high,2
4173936,True,high,1
410627,True,high,5
2635668,True,high,12
3033611,True,high,2
2723339,True,medium,1
3538802,True,high,6
2368896,True,high,23
3069820,True,medium,1
2062483,True,high,2
2496515,True,high,13
2972989,True,high,9
1917616,True,high,12
3966477,True,high,13
22900128,True,high,12
3069464,True,high,3
3771278,True,high,4
2764897,True,high,71
4070853,True,high,7
2902975,True,medium,2
2359581,True,high,1
2696018,True,high,4
2363629,True,high,6
2511402,True,high,9
2466930,True,high,1
2634471,True,high,2
623853,True,high,142
101746040,True,high,11
2504320,True,high,37
621032,True,high,28
